id,title,author,authors,isbn10,format,publisher,pubdate,pages
294,Tales for Little Rebels: A Collection of Radical Children's Literature,Philip Nel,"Philip Nel, Jack Zipes, Julia Mickenberg",814757219,Paperback,New York University Press,Mar-10,313
295,Great American Prose Poems,David Lehman,David Lehman,743243501,Paperback,Simon & Schuster Adult Publishing Group,Mar-03,352
296,"The Literature of California, Volume 1: Native American Beginnings to 1945",Jack Hicks,"Jack Hicks (Editor), Al Young (Editor), James D. Houston",520222121,Paperback,University of California Press,Dec-00,653
297,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,Molly O'Neill,1598530054,Hardcover,Library of America,Apr-07,700
298,Essential Saroyan,William Saroyan,"William Saroyan, William E. Justice",1597140015,Paperback,Heyday Books,Apr-05,192
299,No Walls of Stone: An Anthology of Literature by Deaf and Hard of Hearing Writers,Jill Jepson,Jill Jepson,156368019X,Hardcover,Gallaudet University Press,Jan-02,232
300,"Pioneers of the Black Atlantic: Five Slave Narratives from the Enlightenment, 1772-1815",Henry Louis Gates Jr.,Henry Louis Gates Jr.,1887178988,Paperback,Basic Civitas Books,Nov-98,656
301,Riding Low on Streets of Gold,Judith Ortiz Cofer,Judith Ortiz Cofer,1558853804,Paperback,Arte Publico Press,Nov-03,192
302,Fire and Ink: An Anthology of Social Action Writing,Frances Payne Adler,Frances Payne Adler,816527938,Paperback,University of Arizona Press,Oct-09,448
303,"New York Nocturne: The City After Dark in Literature, Painting, and Photography, 1850-1950",William Chapman Sharpe,William Chapman Sharpe,691133247,Hardcover,Princeton University Press,Oct-08,456
304,Poets of World War II,Various,"Various, Harvey Shapiro",1931082332,Hardcover,Library of America,Jul-02,262
305,Voices from the Harlem Renaissance,Nathan Irvin Huggins,Nathan Irvin Huggins,195093607,Paperback,"Oxford University Press, USA",Jan-95,448
306,A Loving Voice II: A Caregiver's Book of More Read-Aloud Stories for the Elderly,Carolyn Banks,"Carolyn Banks, Janis Rizzo",091478370X,Paperback,Charles Press Publishers PA,Jul-94,292
307,Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,William Craft,"William Craft, Ellen Craft, Richard J. Blackett",080712320X,Paperback,Louisiana State University Press,Feb-99,
308,Motherland: Writings by Irish American Women about Mothers and Daughters,Caledonia Kearns,"Caledonia Kearns (Editor), Caledonia Kearns",688175864,Paperback,HarperCollins Publishers,Apr-00,276
309,The Lowell Offering: Writings by New England Mill Women (1840-1845),Benita Eisler,"Benita Eisler (Editor), Benita Eisler (Commentaries by), Benita Eisler",393316858,Paperback,"Norton, W. W. & Company, Inc.",Dec-97,
310,The Best American Poetry 2010,Amy Gerstler,"Amy Gerstler (Editor), David Lehman",1439181470,Hardcover,Simon & Schuster Adult Publishing Group,Sep-10,
311,Inside Out/Outside In: Exploring American Literature,Victoria Holder,"Victoria Holder, Holder, Dorothy Lindsay, Lyn Motai, Karen Wiederholt",395986052,Hardcover,Cengage Learning,Jul-05,360
312,Glencoe Literature: American Literature: The Reader's Choice,Jeffrey D. Wilhelm,"Jeffrey D. Wilhelm, Douglas Fisher, Beverly Ann Chin",78454816,Hardcover,"McGraw-Hill Companies, The",Jan-06,1351
313,Transcendentalism: A Reader,Joel Myerson,"Joel Myerson, Joel Myerson",195122135,Paperback,"Oxford University Press, USA",Dec-00,752
314,The Best American Short Stories 2002,Sue Miller,"Sue Miller (Editor), Katrina Kenison (Editor), Sue Miller (Introduction), Katrina Kenison",618131736,Paperback,Houghton Mifflin Harcourt,Oct-02,402
315,A Loving Voice: A Caregiver's Book of Read-Aloud Stories for the Elderly,Carolyn Banks,"Carolyn Banks, Janis Rizzo",914783599,Paperback,Charles Press Publishers PA,Jan-92,320
316,Hispanic Caribbean Literature of Migration: Narratives of Displacement,Vanessa Y. P&#233;rez Rosario,Vanessa Y. Pérez Rosario,230620655,Hardcover,Palgrave Macmillan,Jun-10,
317,American Political Plays after 9/11,Allan Havis,"Allan Havis, Anne Nelson, Chay Yew, Naomi Iizuka, Kia Corthron",809329549,Paperback,Southern Illinois University Press,Jun-10,304
318,"Best Plays of the Early American Theatre, 1787-1911",John Gassner,"John Gassner, Mollie Gassner (Editor), Mollie Gassner",486410986,Paperback,Dover Publications,Jun-00,784
319,"Glances Backward: An Anthology of American Homosexual Writing, 1830-1920",James J. Gifford,James J. Gifford,1551117282,Paperback,Broadview Press,Sep-06,388
320,"American Poetry: The Nineteenth Century (Melville to Stickney, American Indian Poetry, Folk Songs and Spirituals) (Library of America), Vol. 2",Various,"Various, John Hollander",094045078X,Hardcover,Library of America,Sep-93,
321,Deaf Way II Anthology: A Literary Collection of Deaf and Hard of Hearing Writers,Tonya M. Stremlau,Tonya M. Stremlau,1563681277,Paperback,Gallaudet University Press,Jun-02,208
322,American Short Story and Its Writer: An Anthology,Ann Charters,"Ann Charters, Ann Charters",312191766,Paperback,Bedford/St. Martin's,Aug-99,1495
323,Orpheus and Company: Contemporary Poems on Greek Mythology,Deborah De Nicola,Deborah De Nicola,874519187,Paperback,University Press of New England,Apr-99,356
324,Poems That Live Forever,Hazel Felleman,Hazel Felleman,385003587,Hardcover,Knopf Doubleday Publishing Group,Jun-65,480
325,The Best American Nonrequired Reading 2008,Dave Eggers,"Dave Eggers (Editor), Judy Blume",061890283X,Paperback,Houghton Mifflin Harcourt,Oct-08,400
326,American Negro Poetry,Arna Bontemps,"Arna Bontemps (Editor), Arna Bontemps",809015641,Paperback,"Farrar, Straus and Giroux",Dec-95,256
327,Paradise Road: Jack Kerouac's Lost Highway and My Search for America,Jay Atkinson,Jay Atkinson,470237694,Hardcover,"Wiley, John & Sons, Incorporated",Mar-10,272
328,The Black Woman: An Anthology,Toni Cade Bambara,"Toni Cade Bambara (Editor), Eleanor W Traylor",743476972,Paperback,Simon & Schuster Adult Publishing Group,Mar-05,352
329,Thom Pain (based on nothing),Will Eno,Will Eno,1559362758,Paperback,Theatre Communications Group,Apr-05,
330,American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps,Peter Straub,Peter Straub,159853047X,Hardcover,Library of America,Oct-09,750
331,100 Poems by 100 Poets,Harold Pinter,"Harold Pinter (Editor), Anthony Astbury (Editor), Geoffrey Godbert",802132790,Paperback,"Grove/Atlantic, Inc.",Jan-94,176
332,"Chocolate Thoughts: Short Stories, Essays and Poetry from the Hearts and Minds of Real Black Men",S. James Guitard,S. James Guitard,1929642377,Paperback,Literally Speaking Pub House,May-06,
333,Oxford Anthology of African American Poetry,Arnold Rampersad,"Arnold Rampersad (Editor), Hilary Herbold (Editor), Hilary Herbold",195125630,Hardcover,"Oxford University Press, USA",Oct-05,464
334,"Freedom in This Village: Twenty-Five Years of Black Gay Men's Writing, 1979 to the Present",E. Lynn Harris,"E. Lynn Harris, E. Lynn Harris",786713879,Paperback,Da Capo Press,Sep-04,459
335,Bandana Republic: A Literary Anthology by Gang Members and Their Affliliates,Louis Reyes Rivera,"Louis Reyes Rivera, Bruce George",1593761945,Paperback,"Soft Skull Press, Inc.",May-08,288
336,The Civil Rights Reader: American Literature from Jim Crow to Reconciliation,Julie Buckner Armstrong,"Julie Buckner Armstrong (Editor), Amy Schmidt",820332259,Paperback,University of Georgia Press,Jan-09,392
337,American Sonnets: An Anthology,David Bromwich,David Bromwich,1598530151,Hardcover,Library of America,Oct-07,224
338,Voices in First Person: Reflections on Latino Identity,Lori Marie Carlson,"Lori Marie Carlson, Flavio Morais (Illustrator), Manuel Rivera-Ortiz",1416906355,Hardcover,Simon & Schuster Children's Publishing,Aug-08,96
339,Montana Women Writers: A Geography of the Heart,Farcountry Press,"Farcountry Press, Sue Hart",1560373792,Paperback,Farcountry Press,Oct-06,395
340,81 Famous Poems,Alexander Scourby,"Alexander Scourby, William Shakespeare, Walt Whitman, A. Yeats, Bramwell Fletcher",945353820,Compact Disc,AudioGO,Aug-93,
341,Califauna: A Literary Field Guide,Terry Beers,"Terry Beers (Editor), Emily Elrod",159714049X,Paperback,Heyday Books,Apr-07,464
342,Thousand and One Afternoons in Chicago,Ben Hecht,"Ben Hecht, B. Hecht, Herman Rosse (Illustrator), William Savage",226322742,Paperback,University of Chicago Press,Jun-09,
343,Philadelphia Stories: America's Literature of Race and Freedom,Samuel Otter,Samuel Otter,195395921,Hardcover,"Oxford University Press, USA",Apr-10,
344,"Voices of Black America: Historical Recordings of Poetry, Humor and Drama, 1908-1947",Washington,"Washington, Langston Hughes, Paul Laurence Dunbar, William Shaman (Produced by), Peter Adamson",962634248X,Compact Disc,Naxos Audiobooks,Feb-02,
345,The Wind Shifts: New Latino Poetry,Francisco Arag&#243;n,"Francisco Aragón, Juan Felipe Herrera",816524939,Paperback,University of Arizona Press,Apr-07,266
346,Slamma Lamma Ding Dong: An Anthology by Nebraska's Slam Poets,J. M. Huscher,"J. M. Huscher (Editor), Dan Leamen, Matt Mason, Dan Leamen (Editor), Matt Mason",595362974,Paperback,"iUniverse, Incorporated",Jul-05,126
347,Shadowed Dreams: Women's Poetry of the Harlem Renaissance,Maureen Honey,"Maureen Honey (Editor), Nellie Y. McKay",813538866,Paperback,Rutgers University Press,Oct-06,374
348,"Appalachia Inside Out: Conflict and Change, Vol. 1",Robert J. Higgs,Robert J. Higgs,870498746,Paperback,University of Tennessee Press,Mar-95,376
349,Writing Los Angeles: A Literary Anthology,David L. Ulin,David L. Ulin,1931082278,Hardcover,Library of America,Sep-02,880
350,On Grandma's Porch: Stories and True Facts about Growing up Southern in the Good Old Days,Sandra Chastain,"Sandra Chastain, Martha Crockett, Debra Leigh Smith",976876027,Paperback,"BelleBooks, Incorporated",Jun-07,249
351,Tuscany in Mind,Alice Leccese Powers,"Alice Leccese Powers (Editor), Alice Leccese Powers",1400076757,Paperback,Knopf Doubleday Publishing Group,May-05,400
352,Don't Squat With Yer Spurs On!: A Cowboy's Guide to Life,Texas Bix Bender,Texas Bix Bender,879054700,Paperback,"Smith, Gibbs Publisher",Oct-00,
353,Love and Marriage in Early African America,Frances Smith Foster,Frances Smith Foster,1555536778,Paperback,Northeastern University Press,Dec-07,360
354,"Twenty One-Acts from the Twenty Years at the Humana Festival, 1975-1995",Michele Volansky,"Michele Volansky (Editor), Michael Dixon",1880399989,Paperback,"Smith & Kraus, Inc.",Dec-95,416
355,American Austen: The Forgotten Writing of Agnes Repplier,Agnes Repplier,"Agnes Repplier, John Lukacs",1933859865,Hardcover,ISI Books,May-09,450
356,American Gothic: An Anthology 1787-1916 (Blackwell Anthologies Series),Crow,"Crow, Charles L. Crow",631206523,Paperback,"Wiley, John & Sons, Incorporated",Jun-99,496
357,The Best American Poetry 2009,David Wagoner,"David Wagoner (Editor), David Lehman",743299760,Hardcover,Simon & Schuster Adult Publishing Group,Sep-09,
358,Bold Words: A Century of Asian American Writing,Rajini Srikanth,"Rajini Srikanth (Editor), Esther Yae Iwanaga",813529662,Paperback,Rutgers University Press,Jan-01,480
359,Another Way to Dance: Contemporqary Asian Poetry from Canada and the United States,Cyril Dabydeen,Cyril Dabydeen,920661599,Paperback,T S A R Publications,Jan-96,272
360,The Best American Poetry 2003,Yusef Komunyakaa,"Yusef Komunyakaa (Editor), David Lehman",743203887,Paperback,Simon & Schuster Adult Publishing Group,Aug-03,256
361,Plays and Playwrights 2002,Martin Denton,"Martin Denton, Marc Spitz, Matthew Freeman, Curtiss I. Cook, Marc Chun",967023432,Paperback,"New York Theatre Experience, Incorporated, The",Jan-02,350
362,"Why Freedom Matters: The Spirit of the Declaration of Independence in Prose, Poetry, and Song from 1776 to the Present",Daniel Katz,"Daniel Katz (Editor), Katz",761131655,Paperback,"Workman Publishing Company, Inc.",Sep-03,400
363,The Best American Short Plays 2006-2007,Barbara Parisi,Barbara Parisi,1557837473,Hardcover,Applause Theatre Book Publishers,Jun-10,
364,Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime,Dylan Rodriguez,Dylan Rodriguez,816645612,Paperback,University of Minnesota Press,Jan-06,288
365,Selected Works,Ralph Waldo Emerson,"Ralph Waldo Emerson, Margaret Fuller, John Carlos Rowe",395980755,Paperback,Cengage Learning,Apr-02,504
366,Getting Home Alive,Aurora Levins Morales,"Aurora Levins Morales, Rosario Morales",932379192,Paperback,Firebrand Books,Dec-86,213
367,Twentieth-Century American Poetry,Dana Gioia,"Dana Gioia, Meg Schoerke, David Mason, Meg Schoerke, David Mason",72400196,Paperback,"McGraw-Hill Companies, The",Dec-03,
368,Plays and Playwrights 2009,Martin Denton,"Martin Denton (Editor), Michael Laurence, Tim Collins, Lenora Champagne, Carlos Lacamara",979485223,Paperback,"New York Theatre Experience, Incorporated, The",Feb-09,384
369,Through the Eye of the Deer: An Anthology of Native American Women Writers,Carolyn Dunn,"Carolyn Dunn (Editor), Carol Comfort",1879960583,Paperback,Aunt Lute Books,Sep-99,284
370,Asian American Studies: A Reader,Jean Yu-wen Shen Wu,"Jean Yu-wen Shen Wu (Editor), Min Song",813527260,Paperback,Rutgers University Press,May-00,600
371,Latinos in Lotusland: An Anthology of Contemporary Southern California Literature,Daniel A. Olivas,Daniel A. Olivas,1931010471,Paperback,Bilingual Review/Press,Apr-08,
372,Daughters Of Decadence,Elaine Showalter,Elaine Showalter,813520185,Paperback,Rutgers University Press,Aug-93,352
373,"American Tradition in Literature : With American Ariel, Vol. 2",George Perkins,George Perkins,73221538,Hardcover,"McGraw-Hill Companies, The",Oct-06,
374,Best American Nonrequired Reading 2005,Dave Eggers,"Dave Eggers (Editor), Beck",618570489,Paperback,Houghton Mifflin Harcourt,Oct-05,370
375,Sister Nations: Native American Women Writing on Community,Heid E. Erdrich,"Heid E. Erdrich (Editor), Laura Tohe (Editor), Winona LaDuke",873514289,Paperback,Minnesota Historical Society Press,Mar-02,230
376,Asian-American Literature: A Brief Introduction and Anthology,Shawn Wong,Shawn Wong,673469778,Paperback,Longman,Jan-97,400
377,Black Silk: A Collection of African-American Erotica,Retha Powers,Retha Powers,446676918,Paperback,Hachette Book Group,Feb-02,356
378,The Best Plays Theater Yearbook 2007-2008,Jeffrey Eric Jenkins,Jeffrey Eric Jenkins,879103663,Hardcover,Limelight Editions,Oct-09,650
379,"Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies",Emma Forrest,Emma Forrest,61175358,Paperback,HarperCollins Publishers,Jun-07,304
380,The Prentice Hall Anthology of Latino Literature,Eduardo del Rio,"Eduardo del Rio, Eduardo Rius Del Rio",130266876,Hardcover,Prentice Hall,Aug-01,544
381,The Norton Book of American Autobiography,Jay Parini,"Jay Parini (Editor), Gore Vidal",039304677X,Hardcover,"Norton, W. W. & Company, Inc.",Mar-99,711
382,New Playwrights: The Best Plays of 2000,D. L. Lepidus,D. L. Lepidus,157525249X,Paperback,"Smith & Kraus, Inc.",Jan-03,311
383,Xerophilia: Ecocritical Explorations in Southwestern Literature,Tom Lynch,"Tom Lynch, Scott Slovic",089672638X,Hardcover,Texas Tech University Press,Dec-08,264
384,"The New Anthology of American Poetry: Volume I: Traditions and Revolutions, Beginnings to 1900",Steven Gould Axelrod,"Steven Gould Axelrod (Editor), Camille Roman, Camille Roman (Editor), Thomas J. Travisano (Editor), Camille Roman",813531624,Paperback,Rutgers University Press,Mar-03,768
385,Contemporary U. S. Latino a Literary Criticism,Lyn Di Iorio Sandin,"Lyn Di Iorio Sandin (Editor), Richard Perez",1403979995,Hardcover,Palgrave Macmillan,Oct-07,304
386,Brother to Brother: New Writings by Black Gay Men,Essex Hemphill,"Essex Hemphill (Editor), Chuck Tarver (Afterword), Jafari Allen (Introduction), Joseph Beam",978625110,Paperback,Small Pr Distribution,Dec-07,389
387,"The New World Border: Prophecies, Poems, and Loqueras for the End of the Century",Guillermo Gomez-Pena,Guillermo Gomez-Pena,872863131,Hardcover,City Lights Books,Jan-01,244
388,"Literatura Chicana, 1965-1995: An Anthology in Spanish, English, and Calo, Vol. 191",Garland,"Garland, David Foster (Editor), Manuel De Jesus Hernandez-Gutier",815320809,Paperback,Routledge,Mar-97,520
389,So Fey,Steve Berman,Steve Berman,1590212282,Paperback,Lethe Press,Jun-09,348
390,"Imagined Transnationalism: U. S. Latino/A Literature, Culture, and Identity",Kevin Concannon,"Kevin Concannon (Editor), Francisco A. Lomeli (Editor), Marc Priewe",230606326,Hardcover,Palgrave Macmillan,Nov-09,272
391,Literature and Aging: An Anthology,Martin Kohn,"Martin Kohn (Editor), Delese Wear (Editor), Carol Donley",873384660,Paperback,Kent State University Press,Feb-93,456
392,Salaam. Peace: An Anthology of Middle Eastern-American Drama,Holly Hill,Holly Hill,1559363320,Paperback,Theatre Communications Group,Jan-10,400
393,Plays and Playwrights 2008,Robert Attweiler,"Robert Attweiler, Daniel Reitz, Crystal Skillman, Leslie Bramm, Daniel Talbott",979485215,Paperback,"New York Theatre Experience, Incorporated, The",Feb-08,
394,Call and Response: The Riverside Anthology of the African American Literary Tradition CD,Patricia Liggins Hill,"Patricia Liggins Hill (Editor), Patricia Liggins Hill, Bernard W. Bell (Editor), Bernard W. Bell",395875099,Multimedia,CENGAGE Learning,Jan-98,
395,U.S. Latino Literature Today,Gabriela Baeza Ventura,Gabriela Baeza Ventura,321198433,Paperback,Longman,Aug-04,352
396,Death Defying Acts,Woody Allen,"Woody Allen, Elaine May, David Mamet",573695393,Paperback,"Samuel French, Incorporated",Jan-96,132
397,American Studies Anthology,Richard P. Horwitz,Richard P. Horwitz,842028293,Paperback,Sr Books,Aug-01,416
398,Women Heroes: Six Short Plays from the Women's Project,Julia Miles,Julia Miles,936839228,Paperback,Applause Theatre Book Publishers,Jan-87,104
399,Queer Beats: How the Beats Turned America On to Sex,Regina Marler,Regina Marler,1573441880,Paperback,Cleis Press,Jun-04,209
400,Message to Aztlan: Selected Readings,Rodolfo Gonzales,"Rodolfo Gonzales, Antonio Esquibel (Compiler), Rodolfo F. Acuna",1558853316,Paperback,Arte Publico Press,Jan-01,256
401,The New England Transcendentalists: Life of the Mind and of the Spirit (Perspectives on History Series),Ellen Hansen,Ellen Hansen,1932663177,Paperback,"History Compass, LLC",Dec-06,44
402,Literature of the American South: A Norton Anthology,William L. Andrews,William L. Andrews,393316718,Paperback,"Norton, W. W. & Company, Inc.",Oct-97,1060
403,The American Puritans: Their Prose and Poetry,Perry Miller,"Perry Miller (Editor), Perry Miller",023105419X,Paperback,Columbia University Press,May-82,346
404,"Richard Wright: Early Works (Lawd Today!, Uncle Tom's Children, Native Son)",Richard Wright,"Richard Wright, Arnold Rampersad",940450666,Hardcover,Library of America,Oct-91,936
405,The Heath Anthology of American Literature: Volume E: Contemporary Period (1945 to the Present),Paul Lauter,"Paul Lauter, Richard Yarborough, Jackson Bryer, Charles Molesworth, King-Kok Cheung",061853301X,Paperback,Cengage Learning,Jan-05,1264
